id;smeller;sample;intensity;humor;note;image;feeling;name
3;3;S41;60;DOUCEUR;CHIMIQUE;ALCOOL;20;
11;11;CS1;40;ANXIETE;CHIMIQUE;ESSENCE;80;
14;14;CS10;40;DOUCEUR;CHIMIQUE;ESSENCE;20;
17;17;CS16;100;ANXIETE;GRASSE;BEURRE RANCE;80;
19;19;CS24;40;AFFECTION;FRUITEE;RAISIN;40;
20;20;CS24;80;IRRITATION;GRASSE;CUMIN;80;
22;22;PB1;60;IRRITATION;ANIMALE;SANGLIER;80;
23;23;PB2;100;COLERE;ANIMALE;CHIEN MOUILLE;60;
26;26;PB4;100;AFFECTION;ANIMALE;BOUC / CHEVRE;100;
27;27;PB4;100;COLERE;ANIMALE;SANGLIER;100;
31;31;CS57;100;AFFECTION;EPICEE;SANGLIER;72;test1216
32;31;CS2;11;NERVOSITE;FRUITEE;FRUIT DE LA PASSION;58;test1217
33;31;CS54;50;TRISTESSE;VEGETALE;PIMENT;70;test1218
34;31;CS16;77;NERVOSITE;EPICEE;SANGLIER;66;test1219
35;31;S45;79;COLERE;EPICEE;RAISIN;80;test1220
36;31;PB3;92;IRRITATION;EPICEE;ASPERGE;63;test1221
37;32;CS52;72;IRRITATION;VEGETALE;ASPERGE;56;testes
40;34;CS5;16;AFFECTION;CHIMIQUE;ALCOOL;38;Tuyau
41;35;S28;5;DOUCEUR;VEGETALE;RAISIN;49;Le néant
42;36;S41;79;AFFECTION;ANIMALE;CHIEN MOUILLE;100;fourure
43;35;S36;0;TRISTESSE;VEGETALE;RAISIN;49;Rien
44;36;CS49;70;EXCITATION;EPICEE;PIMENT;0;poivre frais
45;34;CS19;84;NERVOSITE;ANIMALE;BOUC / CHEVRE;57;Voiture
46;35;CS33;29;BONHEUR;FRUITEE;FRUIT DE LA PASSION;13;Fruit fruit
47;34;CS8;56;ANXIETE;EPICEE;CUMIN;33;mangrove
48;36;S32;11;EXCITATION;ANIMALE;FRUIT DE LA PASSION;0;amour
49;35;CS38;0;TRISTESSE;VEGETALE;RAISIN;100;Rien
50;35;CS24;78;NERVOSITE;CHIMIQUE;CUMIN;62;Champignon de piscine
51;34;CS27;78;EXCITATION;VEGETALE;PIMENT;24;Camphre
52;35;CS29;0;AFFECTION;VEGETALE;RAISIN;100;Rien
53;34;CS51;90;PEUR;GRASSE;CHOUX;86;Effort
55;34;CS50;74;NERVOSITE;EPICEE;VINAIGRE;59;Bar
56;37;S44;90;BONHEUR;FRUITEE;FRUIT DE LA PASSION;0;Mandarinne
57;37;CS15;18;DOUCEUR;ANIMALE;ESSENCE;17;Sueur froide
58;37;CS54;0;DOUCEUR;CHIMIQUE;RAISIN;24;odeur trés neutre
59;37;PB3;71;EXCITATION;EPICEE;PIMENT;14;good peper ! :)
60;37;S46;17;AFFECTION;FRUITEE;RAISIN;24;
62;38;CS17;19;DOUCEUR;VEGETALE;RAISIN;0;fade
64;39;CS3;10;DOUCEUR;CHIMIQUE;MENTHE;30;
65;40;S38;0;AFFECTION;ANIMALE;BOUILLON DE POULET;100;
67;39;CS53;97;IRRITATION;ANIMALE;BOUC / CHEVRE;100;
68;41;S48;57;IRRITATION;FRUITEE;FROMAGE;49;test
69;41;CS22;100;TRISTESSE;CHIMIQUE;ALCOOL;52;hopital
70;39;CS11;72;ANXIETE;CHIMIQUE;VINAIGRE;53;
71;41;CS31;24;DOUCEUR;ANIMALE;BOUILLON DE POULET;55;
72;39;CS24;40;ANXIETE;CHIMIQUE;VINAIGRE;63;
73;39;CS5;70;DOUCEUR;CHIMIQUE;VINAIGRE;77;
74;41;CS18;100;PEUR;CHIMIQUE;BEURRE RANCE;100;
75;41;S44;87;BONHEUR;FRUITEE;FRUIT DE LA PASSION;0;
76;39;S38;73;BONHEUR;EPICEE;FRUIT DE LA PASSION;21;
78;42;CS19;9;TRISTESSE;CHIMIQUE;ALCOOL;95;HOPITAL
79;43;S45;81;AFFECTION;VEGETALE;ESSENCE;37;déodorant
80;42;CS30;0;DOUCEUR;CHIMIQUE;POISSON;73;inodore
81;43;S32;67;BONHEUR;FRUITEE;FRUIT DE LA PASSION;23;orange
82;42;CS36;0;DOUCEUR;EPICEE;VINAIGRE;80;doux
83;43;CS12;73;BONHEUR;CHIMIQUE;ALCOOL;47;peinture
84;42;CS7;80;DOUCEUR;FRUITEE;FRUIT DE LA PASSION;21;deodorant
85;43;PB5;68;FOLIE;CHIMIQUE;ALCOOL;44;plastique
86;42;CS38;11;DOUCEUR;VEGETALE;RAISIN;71;végétal
87;43;CS41;50;NERVOSITE;ANIMALE;BOUC / CHEVRE;70;transpi
88;42;PB9;82;IRRITATION;EPICEE;PIMENT;54;chimique
89;44;CS14;41;IRRITATION;CHIMIQUE;SANGLIER;54;
90;43;CS44;50;ANXIETE;ANIMALE;CHIEN MOUILLE;59;...
91;44;CS9;37;DOUCEUR;GRASSE;BEURRE RANCE;14;
92;44;CS30;0;DEPRESSION;CHIMIQUE;ESSENCE;27;pas vraiment d'odeur
93;44;PB1;80;ANXIETE;EPICEE;CUMIN;76;
94;44;CS37;0;BONHEUR;VEGETALE;FRUIT DE LA PASSION;8;odeur trés faible (mais bonne ! )
95;44;CS13;57;BONHEUR;FRUITEE;FRUIT DE LA PASSION;20;
